1673398609.9882164,1673398362.67585,0.97
1673398609.9920676,1673398382.67678,1.0
1673398609.9921532,1673398402.6777,1.0
1673398609.9922078,1673398422.67863,1.0
1673398609.9922867,1673398442.67956,1.0
1673398609.992353,1673398462.68048,1.0
1673398609.9924054,1673398482.68141,1.0
1673398609.9924378,1673398502.68233,1.0
1673398609.9925368,1673398522.68326,1.0
1673398609.992609,1673398542.68419,1.0
1673398609.99266,1673398562.68511,1.0
1673398609.9927108,1673398582.68604,1.0
1673398609.9927616,1673398602.68696,1.0
1673398609.992816,1673398622.68789,1.0
