1669700140.8278675,1669700133.52766,93.67609
1669700140.871808,1669700133.54329,86.57611
1669700140.872135,1669700133.55891,76.89313
1669700140.872348,1669700133.57454,65.53918
1669700140.873149,1669700133.59016,54.32443
1669700140.8733385,1669700133.60579,45.38533
1669700140.873515,1669700133.62142,40.39166
1669700140.8736894,1669700133.63704,39.88741
1669700140.8738616,1669700133.65267,43.04564
1669700140.874037,1669700133.66829,47.94461
1669700140.8742049,1669700133.68392,52.23262
1669700141.007057,1669700133.69954,53.85121
1669700141.0076199,1669700133.71517,51.46539
1669700141.008076,1669700133.7308,44.59502
1669700141.0082204,1669700133.74642,33.41355
1669700141.0083315,1669700133.76205,18.57854
1669700141.0084324,1669700133.77767,1.102325
1669700141.0085294,1669700133.7933,-17.73151
1669700141.0086243,1669700133.80892,-36.4663
1669700141.0087178,1669700133.82455,-53.77007
1669700141.0088098,1669700133.84018,-68.84505
1669700141.008901,1669700133.8558,-81.74632
1669700141.2104077,1669700133.87143,-93.42838
1669700141.2110403,1669700133.88705,-105.3957
1669700141.2113152,1669700133.90268,-119.0525
1669700141.2115197,1669700133.9183,-134.9541
1669700141.2117045,1669700133.93393,-152.2924
1669700141.2118795,1669700133.94956,-168.7618
1669700141.212053,1669700133.96518,-181.0318
1669700141.2122245,1669700133.98081,-185.6134
1669700141.2123933,1669700133.99643,-179.9384
1669700141.212562,1669700134.01206,-163.2069
1669700141.212733,1669700134.02768,-136.7151
1669700141.3452575,1669700134.04331,-103.5033
1669700141.346428,1669700134.05894,-67.44174
1669700141.346671,1669700134.07456,-32.15462
1669700141.3468735,1669700134.09019,-0.1955261
1669700141.3470585,1669700134.10581,27.21208
1669700141.3472338,1669700134.12144,49.93134
1669700141.3474085,1669700134.13706,68.40631
1669700141.34758,1669700134.15269,83.19785
1669700141.3477507,1669700134.16832,94.7164
1669700141.3479216,1669700134.18394,103.2796
1669700141.3480902,1669700134.19957,109.2141
1669700141.525907,1669700134.21519,112.9672
1669700141.5263524,1669700134.23082,115.1127
1669700141.5270147,1669700134.24644,116.1958
1669700141.5272174,1669700134.26207,116.6827
1669700141.5277514,1669700134.2777,116.8172
1669700141.5279515,1669700134.29332,116.7319
1669700141.5281022,1669700134.30895,116.5403
1669700141.5282402,1669700134.32457,116.4486
1669700141.5284016,1669700134.3402,116.7845
1669700141.5285487,1669700134.35582,117.8653
1669700141.5286777,1669700134.37145,119.8614
1669700141.6860998,1669700134.38708,122.6097
1669700141.6862893,1669700134.4027,125.5798
1669700141.6865199,1669700134.41833,127.9801
1669700141.686697,1669700134.43395,129.024
1669700141.6868682,1669700134.44958,128.1791
1669700141.6870377,1669700134.4652,125.4016
1669700141.6872058,1669700134.48083,121.1077
1669700141.6873748,1669700134.49646,115.9656
1669700141.6875453,1669700134.51208,110.6384
1669700141.6877167,1669700134.52771,105.4994
1669700141.6878858,1669700134.54333,100.5588
1669700141.8628871,1669700134.55896,95.51587
1669700141.8640478,1669700134.57458,89.98956
1669700141.864323,1669700134.59021,83.7168
1669700141.8645325,1669700134.60584,76.73682
1669700141.8647225,1669700134.62146,69.37592
1669700141.8649044,1669700134.63709,62.12701
1669700141.8650818,1669700134.65271,55.43463
1669700141.8652556,1669700134.66834,49.47473
1669700141.8654246,1669700134.68396,44.10864
1669700141.8655934,1669700134.69959,38.91095
1669700141.865764,1669700134.71522,33.40045
1669700142.0423348,1669700134.73084,27.25586
1669700142.0426278,1669700134.74647,20.45599
1669700142.0426824,1669700134.76209,13.31366
1669700142.0427191,1669700134.77772,6.309326
1669700142.0435102,1669700134.79334,-0.09259033
1669700142.0435798,1669700134.80897,-5.695618
1669700142.043617,1669700134.8246,-10.61597
1669700142.0436502,1669700134.84022,-15.29694
1669700142.043681,1669700134.85585,-20.41205
1669700142.0437107,1669700134.87147,-26.69055
1669700142.0437407,1669700134.8871,-34.65808
1669700142.2039838,1669700134.90272,-44.2973
1669700142.2041733,1669700134.91835,-54.80396
1669700142.204349,1669700134.93398,-64.45453
1669700142.2054331,1669700134.9496,-70.96143
1669700142.2057035,1669700134.96523,-72.0174
1669700142.205908,1669700134.98085,-66.0882
1669700142.2060935,1669700134.99648,-52.96204
1669700142.2062764,1669700135.0121,-33.8667
1669700142.206492,1669700135.02773,-11.07043
1669700142.2066693,1669700135.04336,12.83051
1669700142.2068393,1669700135.05898,35.57007
1669700142.3806157,1669700135.07461,55.64044
1669700142.3818958,1669700135.09023,72.28931
1669700142.3828228,1669700135.10586,85.34119
1669700142.3831003,1669700135.12148,94.90918
1669700142.383303,1669700135.13711,101.3057
1669700142.383487,1669700135.15274,105.0093
1669700142.3836672,1669700135.16836,106.6437
1669700142.3838415,1669700135.18399,106.9745
1669700142.384013,1669700135.19961,106.7195
1669700142.3841825,1669700135.21524,106.4638
1669700142.384351,1669700135.23086,106.5263
1669700142.5836957,1669700135.24649,107.0352
1669700142.585057,1669700135.26212,108.0084
1669700142.5856452,1669700135.27774,109.5059
1669700142.5858562,1669700135.29337,111.7593
1669700142.5860443,1669700135.30899,115.0897
1669700142.586224,1669700135.32462,119.9026
1669700142.586432,1669700135.34025,126.4749
1669700142.5866115,1669700135.35587,134.8352
1669700142.586779,1669700135.3715,144.5781
1669700142.5869455,1669700135.38712,154.7969
1669700142.587111,1669700135.40275,164.1606
1669700142.7171552,1669700135.41837,171.0681
1669700142.717574,1669700135.434,174.0398
1669700142.7176163,1669700135.44963,172.1086
1669700142.7176502,1669700135.46525,165.233
1669700142.7176828,1669700135.48088,154.382
1669700142.7177138,1669700135.4965,141.3487
