1669700140.8744102,1669700133.57789,-38.0,-2.0,53.0
1669700140.8746357,1669700133.60914,-38.0,-2.0,53.0
1669700140.8748214,1669700133.64039,-38.0,-2.0,53.0
1669700140.8749957,1669700133.67164,-38.0,-2.0,53.0
1669700140.8751667,1669700133.70289,-38.0,-2.0,53.0
1669700140.8753362,1669700133.73414,-38.0,-2.0,53.0
1669700141.0747428,1669700133.7654,-38.0,-2.0,53.0
1669700141.0755885,1669700133.79665,-38.0,-2.0,53.0
1669700141.0762928,1669700133.8279,-38.0,-2.0,53.0
1669700141.076568,1669700133.85915,-38.0,-2.0,53.0
1669700141.0767741,1669700133.8904,-38.0,-2.0,53.0
1669700141.0769615,1669700133.92165,-38.0,-2.0,53.0
1669700141.2772603,1669700133.9529,-38.0,-2.0,53.0
1669700141.2781315,1669700133.98416,-38.0,-2.0,53.0
1669700141.2784393,1669700134.01541,-38.0,-2.0,53.0
1669700141.2786548,1669700134.04666,-38.0,-2.0,53.0
1669700141.2788436,1669700134.07791,-38.0,-2.0,53.0
1669700141.2790244,1669700134.10916,-38.0,-2.0,53.0
1669700141.4351363,1669700134.14041,-38.0,-2.0,53.0
1669700141.4360063,1669700134.17167,-38.0,-2.0,53.0
1669700141.4362507,1669700134.20292,-38.0,-2.0,52.0
1669700141.4364514,1669700134.23417,-38.0,-2.0,52.0
1669700141.4366364,1669700134.26542,-38.0,-2.0,51.0
1669700141.4368134,1669700134.29667,-38.0,-3.0,55.0
1669700141.6831086,1669700134.32792,-36.0,-4.0,55.0
1669700141.6840465,1669700134.35917,-36.0,-2.0,53.0
1669700141.6852372,1669700134.39043,-38.0,-3.0,53.0
1669700141.6855214,1669700134.42168,-37.0,-2.0,53.0
1669700141.6857293,1669700134.45293,-37.0,-3.0,52.0
1669700141.6859176,1669700134.48418,-42.0,-3.0,52.0
1669700141.8176672,1669700134.51543,-38.0,-3.0,53.0
1669700141.8179843,1669700134.54668,-37.0,-3.0,51.0
1669700141.8181992,1669700134.57793,-39.0,-3.0,50.0
1669700141.8184228,1669700134.60919,-40.0,-3.0,51.0
1669700141.8186173,1669700134.64044,-43.0,-3.0,51.0
1669700141.818797,1669700134.67169,-40.0,-3.0,51.0
1669700141.9973242,1669700134.70294,-39.0,-3.0,51.0
1669700141.9982362,1669700134.73419,-40.0,-3.0,51.0
1669700141.9985468,1669700134.76544,-42.0,-3.0,51.0
1669700141.9987588,1669700134.79669,-41.0,-3.0,51.0
1669700141.998946,1669700134.82795,-39.0,-3.0,51.0
1669700141.999125,1669700134.8592,-38.0,-4.0,51.0
1669700142.2014825,1669700134.89045,-41.0,-3.0,51.0
1669700142.2028954,1669700134.9217,-41.0,-3.0,52.0
1669700142.203209,1669700134.95295,-40.0,-3.0,51.0
1669700142.2034252,1669700134.9842,-41.0,-3.0,51.0
