1673937486.726118,1673937479.48974,-32.50543
1673937486.7273865,1673937479.50537,-23.30157
1673937486.7276855,1673937479.52099,-15.42557
1673937486.7278953,1673937479.53662,-8.811066
1673937486.7280848,1673937479.55224,-3.169342
1673937486.728279,1673937479.56787,1.820007
1673937486.728547,1673937479.58349,6.421997
1673937486.7288084,1673937479.59912,10.79962
1673937486.7290041,1673937479.61475,14.95166
1673937486.7291832,1673937479.63037,18.73724
1673937486.7293596,1673937479.646,21.91339
1673937486.9057236,1673937479.66162,24.23981
1673937486.9066236,1673937479.67725,25.59302
1673937486.9069397,1673937479.69287,26.09781
1673937486.9081032,1673937479.7085,26.07062
1673937486.90843,1673937479.72413,25.91754
1673937486.908745,1673937479.73975,25.94235
1673937486.9089735,1673937479.75538,26.18658
1673937486.909165,1673937479.771,26.46698
1673937486.909349,1673937479.78663,26.46121
1673937486.909529,1673937479.80225,25.88303
1673937486.9097054,1673937479.81788,24.58105
1673937487.0632057,1673937479.83351,22.54553
1673937487.064535,1673937479.84913,19.78766
1673937487.0648856,1673937479.86476,16.31067
1673937487.065208,1673937479.88038,12.13528
1673937487.06546,1673937479.89601,7.426147
1673937487.0656564,1673937479.91163,2.555908
1673937487.0658414,1673937479.92726,-1.933594
1673937487.0660217,1673937479.94289,-5.548096
1673937487.0662053,1673937479.95851,-8.091461
1673937487.0663815,1673937479.97414,-9.767548
1673937487.066561,1673937479.98976,-11.08441
1673937487.2425826,1673937480.00539,-12.58456
1673937487.243178,1673937480.02101,-14.54025
1673937487.2445006,1673937480.03664,-16.81628
1673937487.244745,1673937480.05227,-18.98288
1673937487.2449486,1673937480.06789,-20.58054
1673937487.2451403,1673937480.08352,-21.4194
1673937487.2453244,1673937480.09914,-21.66742
1673937487.2455232,1673937480.11477,-21.75699
1673937487.2458036,1673937480.13039,-22.10934
1673937487.2460551,1673937480.14602,-22.92923
1673937487.2462485,1673937480.16165,-24.13651
1673937487.4460044,1673937480.17727,-25.46555
1673937487.4484901,1673937480.1929,-26.64563
1673937487.4488058,1673937480.20852,-27.58255
1673937487.4490256,1673937480.22415,-28.4104
1673937487.4492238,1673937480.23977,-29.39645
1673937487.4494107,1673937480.2554,-30.79196
1673937487.4495938,1673937480.27103,-32.68726
1673937487.4497721,1673937480.28665,-34.96295
1673937487.4499512,1673937480.30228,-37.33905
1673937487.45013,1673937480.3179,-39.49988
1673937487.450308,1673937480.33353,-41.1972
1673937487.57975,1673937480.34916,-42.36554
1673937487.5808082,1673937480.36478,-43.13446
1673937487.5810509,1673937480.38041,-43.76062
1673937487.581254,1673937480.39603,-44.55719
1673937487.5814435,1673937480.41166,-45.83276
1673937487.5816262,1673937480.42728,-47.8172
1673937487.5818455,1673937480.44291,-50.55856
1673937487.582124,1673937480.45854,-53.83035
1673937487.5823574,1673937480.47416,-57.06662
1673937487.5825446,1673937480.48979,-59.36807
1673937487.5827277,1673937480.50541,-59.70053
1673937487.759983,1673937480.52104,-57.17453
1673937487.7608395,1673937480.53666,-51.41302
1673937487.7619517,1673937480.55229,-42.71408
1673937487.762232,1673937480.56792,-31.98917
1673937487.7624395,1673937480.58354,-20.49789
1673937487.7626288,1673937480.59917,-9.439209
1673937487.7628095,1673937480.61479,0.2814941
1673937487.7629886,1673937480.63042,8.244171
1673937487.7631624,1673937480.64604,14.39618
1673937487.7633698,1673937480.66167,18.94302
1673937487.763547,1673937480.6773,22.15771
1673937487.939814,1673937480.69292,24.32449
1673937487.9410014,1673937480.70855,25.71667
1673937487.941293,1673937480.72417,26.58191
1673937487.9415038,1673937480.7398,27.14954
1673937487.9416974,1673937480.75542,27.56274
1673937487.9418855,1673937480.77105,27.91495
1673937487.9420652,1673937480.78668,28.22067
1673937487.9422412,1673937480.8023,28.47473
1673937487.942418,1673937480.81793,28.67404
1673937487.942594,1673937480.83355,28.8623
1673937487.9427717,1673937480.84918,29.11365
1673937488.0972905,1673937480.8648,29.51239
1673937488.098472,1673937480.88043,30.14667
1673937488.098746,1673937480.89606,31.05457
1673937488.0989542,1673937480.91168,32.21652
1673937488.0991726,1673937480.92731,33.5139
1673937488.099405,1673937480.94293,34.76202
1673937488.0996528,1673937480.95856,35.72827
1673937488.0999405,1673937480.97418,36.20514
1673937488.100152,1673937480.98981,36.0667
1673937488.1003377,1673937481.00544,35.25461
1673937488.1005182,1673937481.02106,33.84183
1673937488.2775552,1673937481.03669,32.00362
1673937488.2930784,1673937481.05231,29.9433
1673937488.2933943,1673937481.06794,27.8689
1673937488.2936146,1673937481.08356,25.91255
1673937488.2938101,1673937481.09919,24.11403
1673937488.2939982,1673937481.11482,22.42424
1673937488.2941806,1673937481.13044,20.76918
1673937488.2943594,1673937481.14607,19.06119
1673937488.2945373,1673937481.16169,17.28789
1673937488.2947147,1673937481.17732,15.45998
1673937488.2948935,1673937481.19294,13.58481
1673937488.4658237,1673937481.20857,11.67714
1673937488.4660177,1673937481.2242,9.721512
1673937488.4662015,1673937481.23982,7.729172
1673937488.4663856,1673937481.25545,5.75473
1673937488.4666603,1673937481.27107,3.858322
1673937488.4669187,1673937481.2867,2.051743
1673937488.4671195,1673937481.30232,0.2741547
1673937488.4673362,1673937481.31795,-1.646423
1673937488.4675179,1673937481.33358,-3.903748
1673937488.4676929,1673937481.3492,-6.60112
1673937488.4678705,1673937481.36483,-9.695435
1673937488.6156344,1673937481.38045,-12.95673
1673937488.6168106,1673937481.39608,-16.06705
1673937488.617572,1673937481.4117,-18.76616
1673937488.6180727,1673937481.42733,-20.9722
1673937488.6183438,1673937481.44296,-22.83295
